PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO,pagina
GASTRORRAFIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,75
GASTROSTOMIA CONFECÇÃO / FECHAMENTO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,75
GASTROSTOMIA PARA QUALQUER FINALIDADE,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,75
MEMBRANA ANTRAL - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,75
PILOROPLASTIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,75
PILOROPLASTIA POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,76
TRATAMENTO CIRÚRGICO DAS VARIZES GÁSTRICAS,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,76
VAGOTOMIA (QUALQUER TIPO),,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,76
VAGOTOMIA SUPERSELETIVA OU VAGOTOMIA GÁSTRICA PROXIMAL POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ESTÔMAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,76
AMPUTAÇÃO ABDÔMINO-PERINEAL DO RETO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,76
AMPUTAÇÃO ABDÔMINO-PERINEAL DO RETO POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,76
AMPUTAÇÃO DO RETO POR PROCIDÊNCIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,76
ANOMALIA ANORRETAL - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,76
ANORRETOMIOMECTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,76
APENDICECTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,76
APENDICECTOMIA POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,76
APPLE-PEEL - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,76
ATRESIA INTESTINAL - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,76
CIRURGIA DE ABAIXAMENTO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,76
CIRURGIA DE ABAIXAMENTO POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,76
CIRURGIA DE ACESSO POSTERIOR,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,76
CISTO MESENTÉRICO - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,76
CISTO MESENTÉRICO - TRATAMENTO POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,76
COLECTOMIA COM OU SEM COLOSTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,76
COLECTOMIA COM OU SEM COLOSTOMIA POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,77
COLECTOMIA COM ÍLEO-RETO-ANASTOMOSE,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,77
COLECTOMIA COM ILEOSTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,77
COLECTOMIA COM ILEOSTOMIA POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,77
COLECTOMIA COM ÍLEO-RETO-ANASTOMOSE POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,77
COLOCAÇÃO DE SONDA ENTERAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,77
COLOSTOMIA OU ENTEROSTOMIA - CONFECÇÃO / FECHAMENTO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,77
COLOTOMIA E COLORRAFIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,77
DESTORÇÃO DE VOLVO POR LAPAROTOMIA OU POR VIA ENDOSCÓPICA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,77
DISTORÇÃO DE VOLVO POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,77
DIVERTÍCULO DE MECKEL - EXÉRESE,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,77
DIVERTÍCULO DE MECKEL - EXÉRESE POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,77
DUPLICAÇÃO DO TUBO DIGESTIVO - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,77
ENTERECTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,77
ENTERECTOMIA POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,77
ENTERO-ANASTOMOSE,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,77
ENTERO-ANASTOMOSE POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,77
ENTEROCOLITE NECROTIZANTE - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,77
ENTEROPEXIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,77
ENTEROPEXIA (QUALQUER SEGMENTO) POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,78
ENTEROTOMIA E/OU ENTERORRAFIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,78
ESPORÃO RETAL - RESSECÇÃO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,78
ESVAZIAMENTO PÉLVICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,78
ESVAZIAMENTO PÉLVICO POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,78
FECALOMA - REMOÇÃO MANUAL,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,78
FIXAÇÃO DO RETO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,78
FIXAÇÃO DO RETO POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,78
ÍLEO MECONIAL - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,78
INVAGINAÇÃO INTESTINAL COM OU SEM RESSECÇÃO - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,78
MÁ-ROTAÇÃO INTESTINAL - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,78
MEGACÓLON CONGÊNITO - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,78
MEMBRANA DUSeg. OdontológicaENAL - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,78
PÂNCREAS ANULAR - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,78
PERFURAÇÃO DUSeg. OdontológicaENAL OU DELGADO - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,78
PILOROMIOTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,78
PROCIDÊNCIA DO RETO - REDUÇÃO MANUAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,78
PROCTOCOLECTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,78
PROCTOCOLECTOMIA COM RESERVATÓRIO ILEAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,78
PROCTOCOLECTOMIA POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,79
PROCTOCOLECTOMIA COM RESERVATÓRIO ILEAL POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,79
RESSECÇÃO DE INTESTINO DELGADO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,79
RETOSSIGMOIDECTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,79
RETOSSIGMOIDECTOMIA ABDOMINAL POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,79
TUMOR ANORRETAL - RESSECÇÃO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,79
ABSCESSO ANORRETAL - DRENAGEM,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,79
ABSCESSO ISQUIO-RETAL - DRENAGEM,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,79
CERCLAGEM ANAL,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,79
CORPO ESTRANHO DO RETO - RETIRADA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,79
CRIPTECTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,79
DILATAÇÃO DO ÂNUS E/OU DO RETO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,79
ESFINCTEROPLASTIA ANAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,79
ESFINCTEROTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,79
ESTENOSE ANAL - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,79
EXCISÃO DE PLICOMA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,79
FISSURECTOMIA COM OU SEM ESFINCTEROTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,79
FÍSTULA RETO-VAGINAL E FÍSTULA ANAL EM FERRADURA - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,79
FISTULECTOMIA ANAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,79
FISTULECTOMIA ANORRETAL COM ABAIXAMENTO MUCOSO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,80
FISTULECTOMIA PERINEAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,80
HEMORRÓIDAS - LIGADURA ELÁSTICA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,80
HEMORRÓIDAS - TRATAMENTO ESCLEROSANTE,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,80
"HEMORROIDECTOMIA ABERTA OU FECHADA, COM OU SEM ESFINCTEROTOMIA",,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,80
LACERAÇÃO ANORRETAL - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,80
LESÃO ANAL - ELETROCAUTERIZAÇÃO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,80
PAPILECTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,80
PÓLIPO RETAL - RESSECÇÃO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,80
PROLAPSO RETAL - ESCLEROSE,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,80
PROLAPSO RETAL - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,80
PRURIDO ANAL - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,80
RECONSTITUIÇÃO DE ESFINCTER ANAL POR PLÁSTICA MUSCULAR,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,80
RECONSTRUÇÃO TOTAL ANOPERINEAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,80
